web100_log_entry_log_time,web100_log_entry_connection_spec_remote_ip,web100_log_entry_snap_HCThruOctetsAcked,web100_log_entry_snap_SndLimTimeRwin,web100_log_entry_snap_SndLimTimeCwnd,web100_log_entry_snap_SndLimTimeSnd,web100_log_entry_snap_MinRTT,web100_log_entry_snap_MaxRTT,web100_log_entry_snap_SumRTT,web100_log_entry_snap_CountRTT,web100_log_entry_snap_MaxMSS,web100_log_entry_snap_MaxPipeSize,web100_log_entry_snap_SegsRetrans,web100_log_entry_snap_SegsOut,web100_log_entry_snap_DataSegsOut,web100_log_entry_snap_CongSignals,web100_log_entry_snap_Timeouts,web100_log_entry_snap_DupAcksOut,web100_log_entry_snap_ECNsignals,web100_log_entry_snap_PreCongSumCwnd,web100_log_entry_snap_PreCongSumRTT,connection_spec_client_geolocation_country_code,connection_spec_server_geolocation_country_code
1384742857,186.95.1.108,314548,786896,10583041,167572,211,1717,74446,80,1460,,17,258,258,1,0,0,,71540,1717,VE,US
1384742724,186.95.1.108,274556,0,10191930,175411,223,758,44790,95,1460,,0,202,202,0,0,0,,0,0,VE,US
1384742951,186.95.1.108,302868,3996489,6870236,139830,256,2207,87184,80,1460,,9,232,232,1,0,0,,71540,2207,VE,US
1384742791,186.95.1.108,271560,0,9943041,185379,223,732,52048,93,1460,,0,200,200,0,0,0,,0,0,VE,US
1385084618,186.89.25.145,1760900,143789,9983051,204140,111,315,123937,588,1460,,1,1234,1234,1,0,0,,51100,275,VE,US
1385084702,200.82.172.197,11209640,8433032,1588303,388322,75,1309,419029,1457,1448,,1,7816,7816,1,1,0,,508248,1304,VE,
1385084626,200.8.114.58,483980,700422,9863892,183715,408,687,54694,97,1460,,49,413,413,1,0,0,,97820,582,VE,US
1385084293,200.8.114.58,347068,2980004,7757814,232183,606,1172,95279,99,1460,,0,285,285,0,0,0,,0,0,VE,US
1385843065,186.89.164.93,446028,0,9829236,370139,148,301,23849,127,1460,,6,323,323,5,0,0,,61320,1078,VE,US
1385843401,200.8.115.94,2272792,6605341,3759178,254814,108,1216,469268,537,1460,,0,1713,1713,0,0,0,,0,0,VE,US
1385304439,186.88.233.75,353320,0,10985028,185796,159,476,37438,131,1460,,6,250,250,3,0,0,,37960,1039,VE,US
1385513481,186.88.70.217,1431448,2561936,7433941,218426,192,378,124076,469,1460,,1,1014,1014,1,0,0,,65700,360,VE,US
1385513545,186.88.70.217,1243108,0,10179329,315605,193,441,101362,394,1460,,5,869,869,2,0,0,,75920,780,VE,US
1385513751,200.82.172.197,7590560,8029192,2071763,394885,83,890,387522,1100,1448,,0,5540,5540,0,0,0,,0,0,VE,
